run_id,dataset,model_name,model_seed,datastream_seed,replication,timestamp,dynamic,explainer,time,model_performance,explanation_stream_length,final_pfi,run_file,version,concept_drift,alpha,reservoir_length,concept_drif_time,concept_drift_width
elec2_ARF_fe_1_4_8_1659823734.6318862_dynamic,elec2,ARF,1,4,8,1659823734.6318862,True,EMA_geometric,565.6344330310822,0.0,40000,0.07284979342494514_0.060998495779339634_0.05982469797925971_0.05492106354346591_0.19861029217384066_0.04808969127303929_0.05160215024460609_0.043993916743965786,elec2_ARF_fe_1_4_8_1659823734.6318862_EMA_geometric_dynamic.csv,2,fe,0.001,1000,0.5,0.01
elec2_ARF_fe_1_4_8_1659823734.6318862_dynamic,elec2,ARF,1,4,8,1659823734.6318862,True,batch_interval,923.1630628108978,0.0,40000,0.06953476738369185_0.05352676338169085_0.05552776388194097_0.04852426213106554_0.19959979989995_0.060030015007503754_0.03801900950475238_0.035017508754377195,elec2_ARF_fe_1_4_8_1659823734.6318862_batch_interval_dynamic.csv,2,fe,0.0,0,0.5,0.01
agrawal_LGBM_no_1_4_3_1659873159.662449,agrawal,LGBM,1,4,3,1659873159.662449,False,EMA_uniform,663.8630971908569,0.998939393939394,20000,0.350620767472952_0.14786506148722867_0.3344979156749625_1.599251380191704e-06_6.606884793747011e-08_-5.887666561309265e-05_-7.717502362553443e-11_5.823953008459316e-05_8.449915812652936e-05,agrawal_LGBM_no_1_4_3_1659873159.662449_EMA_uniform.csv,2,no,0.001,1000,nodrift,nodrift
agrawal_LGBM_no_1_4_3_1659873159.662449,agrawal,LGBM,1,4,3,1659873159.662449,False,EMA_geometric,663.1247611045837,0.998939393939394,20000,0.3511630605079243_0.15566986716286305_0.33402614778541573_1.599251380191704e-06_6.606884793747011e-08_0.00011652840397726887_0.0_5.7243206501433785e-05_-1.551984707911917e-05,agrawal_LGBM_no_1_4_3_1659873159.662449_EMA_geometric.csv,2,no,0.001,1000,nodrift,nodrift
agrawal_LGBM_no_1_4_3_1659873159.662449,agrawal,LGBM,1,4,3,1659873159.662449,False,batch_interval,762.9404408931732,0.998939393939394,20000,0.33566783391695854_0.15557778889444723_0.3381690845422712_0.0_0.0_0.0_0.0_0.0_0.0,agrawal_LGBM_no_1_4_3_1659873159.662449_batch_interval.csv,2,no,0.0,0,nodrift,nodrift
agrawal_LGBM_no_1_4_3_1659873159.662449,agrawal,LGBM,1,4,3,1659873159.662449,False,batch_total,763.586763381958,0.998939393939394,20000,0.35286764338216914_0.15520776038801942_0.34076703835191763_0.0_5.0002500125006255e-05_-0.00015000750037501875_-5.0002500125006255e-05_0.0_-5.0002500125006255e-05,agrawal_LGBM_no_1_4_3_1659873159.662449_batch_total.csv,2,no,0.0,0,nodrift,nodrift
adult_GBT_no_1_1_8_1659826353.5301514,adult,GBT,1,1,8,1659826353.5301514,False,EMA_uniform,1445.793747663498,0.8664567140176896,45222,0.013470104497127955_0.004623927353388016_-0.0015089610073603012_-0.00025309442072880584_0.0305936711354263_-0.002140130704906486_0.0011469632637084637_0.03494668184764794_-0.0004576075670330402_0.0019440606590609257_0.04805881149541773_0.011945449760340628_0.0058833990572276385_0.0018529808593755156,adult_GBT_no_1_1_8_1659826353.5301514_EMA_uniform.csv,2,no,0.001,1000,nodrift,nodrift
adult_GBT_no_1_1_8_1659826353.5301514,adult,GBT,1,1,8,1659826353.5301514,False,EMA_geometric,1446.3884093761444,0.8664567140176896,45222,0.014280166895803411_0.0018788930815076324_-0.0012367728271048338_0.0005503491599905313_0.0348195861907001_0.0029479701092127624_0.010373293059618292_0.03296291454421712_0.001550419240270517_-0.001967700552323079_0.05002789583431217_0.011395089530806122_0.010989700612959525_0.0015220501096962513,adult_GBT_no_1_1_8_1659826353.5301514_EMA_geometric.csv,2,no,0.001,1000,nodrift,nodrift
adult_GBT_no_1_1_8_1659826353.5301514,adult,GBT,1,1,8,1659826353.5301514,False,batch_interval,1786.5792548656464,0.8664567140176896,45222,0.016508254127063533_0.0020010005002501254_0.0010005002501250627_0.0005002501250625313_0.029014507253626816_0.0010005002501250627_0.008004002001000501_0.028514257128564285_0.0005002501250625313_-0.0010005002501250627_0.05102551275637819_0.012006003001500752_0.005502751375687844_0.0020010005002501254,adult_GBT_no_1_1_8_1659826353.5301514_batch_interval.csv,2,no,0.0,0,nodrift,nodrift
adult_GBT_no_1_1_8_1659826353.5301514,adult,GBT,1,1,8,1659826353.5301514,False,batch_total,1761.935798406601,0.8664567140176896,45222,0.01897348576988567_0.0034276110656553376_0.0025872935140753193_0.00024324981756263683_0.0344087923752239_0.0026315207536321624_0.0127374449923708_0.039141107007806104_0.0006634085933526459_0.0015258397647110857_0.05221025629685323_0.015811238141571392_0.010592423873863914_0.0009508856504721258,adult_GBT_no_1_1_8_1659826353.5301514_batch_total.csv,2,no,0.0,0,nodrift,nodrift
